County,Waste,Activity,Permit,Name,Status,Address,City,Contact,Phone
Alamance,Medical,Incin,0102-INCIN-M-,"Stericycle, Inc.",Active,1168 Porter Avenue,Haw River,Mr. Kirk Yarbourgh,(336) 380-7440
Alamance,CD,LF,0104-CDLF-1993,Austin Quarter C&D Unit,Active,2701 Austin Quarter Road,Graham,Mr. Richard Hill,(336) 376-0411
Alamance,MSW,LF,0104-MSWLF-1994,Austin Quarter SWM Facility,Active,2701 Austin Quarter Road,Graham,Mr. Richard Hill,(336) 376-0411
Alamance,CD,LF,0105-CDLF-1998,Cobles C&D Landfill,Active,5833 Foster Store Road,Liberty,Mrs. Deanna Martin,(336) 264-4894
Alamance,LCID,TP,0106-TP-2012,Carolina Resource Recovery LCID T&P Facility,Active,3285 Jones Drive,Mebane,Mr. Steven Scott,(336) 214-7229
Alamance,LCID,LF,0107-LCID-2014,Key Properties LCID Landfill,Active,2380 Sandy Cross Rd.,Burlington,"Mr. Clay Moody, Jr.",(336) 380-2458
Alexander,CD,LF,0201-CDLF-1997,Alexander County CDLF,Active,2500 Paynes Dairy Road,Taylorsville,Mr. Josh Mitchell,(828) 632-1101
Alexander,MSW,Trans,0202T-TRANSFER-1998,Alexander County Transfer Station,Active,2500 Paynes Dairy rd,Taylorsville,Mr. Josh Mitchell,(828) 632-1101
Alleghany,MSW,Trans,0303T-TRANSFER-1994,Alleghany County Transfer Facility,Active,419 Osborne Road,Sparta,Ms. Drew Temple,(336) 372-4179
Anson,MSW,LF,0403-MSWLF-2010,Chambers Development MSWLF,Active,375 Dozer Dr,Polkton,Mr. J Tyler Fitzgerald,(704) 690-3240
Anson,Type III,Compost,0405-COMPOST-2014,L & L Environmental Services LLC,Active,2323 DIGGS RD.,Wadesboro,Mr. Ronnie Oaks,(704) 294-0230
Ashe,MSW,LF,0501-MSWLF-1993,Ashe County Landfill,Active,739 Fred Pugh Road,Cumpler,Mr. Scott Hurley,(336) 846-3721
Ashe,HHW,Collection,0502TP-HHW-,Ashe County HHW Facility,Active,311 Dogget RD,West Jefferson,Mr. Brian Houck,(336) 846-3721
Avery,CD,LF,0603-CDLF-1996,Avery County C&D Landfill,Active,2175 Brushy Creek Rd.,Spruce Pine,Mr. Eric Foster,(828) 737-5420
Avery,MSW,Trans,0603-TRANSFER-,Avery County Transfer Station,Active,2175 Brushy Creek Rd,Spruce Pine,Mr. Eric Foster,(828) 737-5420
Beaufort,MSW,Trans,0703T-TRANSFER-2012,Beaufort Transfer Station,Active,500 Flander Filter Road,Washington,Mr. Nicky Hopkins,(252) 644-3207
Bertie,MSW,LF,0803-MSWLF-1993,East Carolina Environmental Regional Landfill,Active,1922 Republican Road,Aulander,Mr. Michael Kavanaugh,(252) 584-0026
Bladen,MSW,Trans,0904T-TRANSFER-1995,Bladen County Transfer Station,Active,1522 Mercer Mill Road,Elizabethtown,Mr. Kip McClary,(910) 872-6320
Yancey,MSW,Trans,10003T-TRANSFER-1995,Yancey-Mitchell Transfer Station,Active,555 LANDFILL ROAD,Burnsville,Mrs. TERESA SUMMERLIN,(828) 675-4043
Brunswick,CD,LF,1007-CDLF-1997,Brunswick County CDLF,Active,172 Landfill Rd NE,Bolivia,Ms. Micki Bozeman,(910) 253-2524
Brunswick,Type I,Compost,1007-COMPOST-,Brunswick County Compost Facility,Active,172 Landfill Rd NE,Bolivia,Ms. Micki Bozeman,(910) 253-2524
Brunswick,MSW,Trans,1010T-TRANSFER-1997,Brunswick County Transfer Station,Active,172 Landfill Rd NE,Bolivia,Ms. Micki Bozeman,(910) 253-2524
Brunswick,LCID,LF,10E-LCID-1993,Brunswick County LCID Landfill,Active,172 Landfill Rd NE,Bolivia,Ms. Micki Bozeman,(910) 253-2524
Buncombe,MSW,Trans,1104-TRANSFER-1993,Waste Management Of Asheville,Active,24 Pond Rd,Asheville,Mr. James Harris,(828) 210-1131
Buncombe,CD,LF,1107-CDLF-1998,Buncombe County C&D Unit,Active,81 Panther Branch Road,Alexander,Mr. Dane Pedersen,(828) 250-5460
Buncombe,MSW,LF,1107-MSWLF-1996,Buncombe County MSW Landfill,Active,81 Panther Branch Road,Alexander,Mr. Dane Pedersen,(828) 250-5460
Buncombe,MSW,Trans,1108T-TRANSFER-1996,Buncombe County Transfer Station,Active,190 Hominy Creek Road,Asheville,Mr. Dane Pedersen,(828) 250-5460
Buncombe,Type I,Compost,1109-COMPOST-,Hensons' Inc. Mulch & More Asheville,Active,116 Pond Rd.,Asheville,Mr. Randy Flynn,(828) 859-5836
Buncombe,LCID,TP,1111-TP-,Riverside Stump Dump at Asheville,Active,620 Riverside Drive,Asheville,Mrs. Clara Ray,(828) 258-7339
Buncombe,MatRecovery,Trans,1114-TRANSFER-2009,Handle Safe Systems Transfer Facility,Active,432 Old Leicester Hwy,Asheville,Mr. Mike Griffin,(828) 273-9544
Buncombe,Type III,Compost,1115-COMPOST-2009,Warren Wilson College,Active,701 Warren Wilson Road,Swannanoa,Mrs. Megan Davis,(828) 771-2014
Buncombe,Type III,Compost,1118-COMPOST-2016,"Danny's Dumpster, Inc.",Active,120 Hardesty Lane,Asheville,Mr. Danny Keaton,(828) 380-9094
Buncombe,Indus,LF,1119-INDUS-2020,Duke Energy Progress - Asheville,Active,46 Duke Energy Lane,Arden,Ms. Bryson Allison,(980) 373-6636
Burke,CD,LF,1203-CDLF-2014,Burke County Johns River Waste Management,Active,2500 Marsh Trail,Morganton,Mr. Miles Champion,(828) 764-9064
Burke,MSW,Trans,1205T-TRANSFER-1998,Burke County Transfer Facility,Active,2500 Marsh Trail,Morganton,Mr. Miles Champion,(828) 764-9064
Cabarrus,CD,LF,1302-CDLF-2006,Cabarrus County CDLF,Active,4441 Irish Potato Rd,Concord,Mr. Kevin Grant,(704) 920-3209
Cabarrus,Type I,Compost,1302-COMPOST-2013,Cabarrus County Organics Reclamation Facility,Active,4441 Irish Potato Rd,Concord,Mr. Kevin Grant,(704) 920-3209
Cabarrus,Tire,LF,1303-TIRELF-1988,US Tire Recycling Partners LP,Active,6322 Poplar Tent Rd,Concord,Mr. Gene Helton,(704) 784-1210
Cabarrus,MSW,LF,1304-MSWLF-1992,BFI-Charlotte Mtr Speedway Landfill V,Active,5105 Morehead Rd,Concord,Mr. Rob LaTourette,(704) 712-8560
Cabarrus,Medical,TP,1305TP-TP-,Stericycle,Active,4403 Republic Court,Concord,Mr. Steve Elliott,(803) 730-1876
Cabarrus,CD,LF,1306-CDLF-2000,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,2105 Speedrail Rd,Concord,Mr. Andrew Burris,(704) 201-5944
Cabarrus,LCID,TP,1306-COMPOST-2019,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,2105 Speedrail Dr.,Concord,Mr. Andrew Burris,(704) 201-5944
Cabarrus,LCID,TP,1306-TP-2019,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,2105 Speedrail Rd,Concord,Mr. Andrew Burris,(704) 201-5944
Cabarrus,LCID,LF,1307-LCID-2009,"Tarheel Bark Company - A Division of Garick, LLC",Active,8829 rocky river rd,harrisburg,Mrs. Michelle Sanderson,(704) 456-8269
Cabarrus,LCID,TP,1307-TP-2009,Tarheel Bark Company - A Division of Garick LLC,Active,8829 Rocky river rd,harrisburg,Mrs. Michelle Sanderson,(704) 456-8263
Cabarrus,HHW,Collection,1308-HHW-,Cabarrus County HHW Collection Facility,Active,246 General Services Drive SW,Concord,Mr. Kevin Grant,(704) 920-3209
Cabarrus,Tire,TP,1310-TIRETP-2012,US Tire Recycling Partners LP,Active,6322 Poplar Tent Rd,Concord,Mr. Gene Helton,(704) 784-1210
Cabarrus,LCID,LF,13F-LCID-2013,Morehead LCID Landfill,Active,5001 Morehead Road,Concord,Mr. Doug Foster,(704) 361-1218
Caldwell,MSW,LF,1403-MSWLF-1998,Foothills Environmental Landfill,Active,2800 CHERAW RD,Lenoir,Mr. STEPHEN HUNTER,(828) 394-3133
Carteret,MSW,Trans,1604-TRANSFER-1993,CRSWMA-Carteret County Transfer Station,Active,800 Hibbs Road,Newport,Mr. Bobby Darden,(252) 633-1564
Catawba,CD,LF,1803-CDLF-,Blackburn Resource Recovery C&D Facility,Active,3993 Rocky Ford Road,Newton,Mr. Rodney Hamby,(704) 462-1348
Catawba,Type I,Compost,1803-COMPOST-,Blackburn Resource Recovery Composting Facility,Active,3993 Rocky Ford Road,Newton,Mr. Rodney Hamby,(704) 462-1348
Catawba,MSW,LF,1803-MSWLF-1997,Blackburn Resource Recovery Landfill Facility,Active,3993 Rocky Ford Road,Newton,Mr. Rodney Hamby,(704) 462-1348
Catawba,LCID,TP,1803-TP-,Blackburn Resource Recovery T&P Facility,Active,3993 Rocky Ford Road,Newton,Mr. Rodney Hamby,(704) 462-1348
Catawba,MSW,Trans,1805-TRANSFER-2001,GDS Recycling Services,Active,130 SOMERSET DRIVE NW,Conover,Mrs. LADONNA BOLTON,(828) 419-3031
Catawba,Type I,Compost,1806-COMPOST-,"Hickory, City of Compost Facility",Active,909 Cloninger Mill Rd,Hickory,Mr. Andrew Ballentine,(828) 323-7439
Catawba,MSW,Trans,1808T-TRANSFER-,"Hickory, City of Transfer Station",Active,1050 1st Ave SW,Hickory,Mr. Andrew Ballentine,(828) 323-7439
Catawba,Indus,LF,1809-INDUS-2006,Duke Energy Carolinas-Marshall FGD,Active,8320 East Highway 150,Terrell,Mrs. Tyler Hardin,(980) 373-5697
Catawba,Indus,LF,1812-INDUS-2008,"Duke Energy Carolinas - Marshall, Industrial",Active,8320 East Highway 150,Terrell,Mrs. Tyler Hardin,(980) 373-5697
Chatham,MSW,Trans,1903T-TRANSFER-1993,Waste Man. - Chatham Co Transfer Station,Active,361 Waste Treatment Plant Rd,Siler City,Mr. Travis McClung,(919) 405-1497
Chatham,HHW,Collection,1904TP-HHW-,Chatham Co HHW Collection Facility,Active,39 County Services Road,Pittsboro,Ms. Shannon Culpepper,(919) 545-7874
Chatham,Type III,Compost,1905-COMPOST-,Dean Brooks Farm,Active,1193 Beal Road,Goldston,Mrs. Amy Fulford,(919) 842-6063
Chatham,Type IV,Compost,1906-COMPOST-,McGill - Merry Oaks Compost Facility,Active,634 Christian Chapel Church Road,New Hill,Mrs. Misti Godwin,(919) 770-4416
Chatham,LCID,LF,1909-LCID-2010,Stone Landfill LCID,Active,52 Rock Hill Drive,Chapel Hill,Mr. Alan Stone,(919) 971-0918
Chatham,CCR,SF,1910-STRUC-2015,Brickhaven No. 2,Active,1271 Moncure-Flatwood Road,Moncure,Mr. Tom Flannagan,(502) 709-3273
Chatham,CD,TP,1912-TP-2020,Pinnacle Waste Goldson Facility,Active,67 Gulf Rd.,Goldston,Mr. Bobby Branch,(919) 708-8465
Cherokee,MSW,LF,2002-MSWLF-1998,Cherokee County MSW Facility,Active,75 Peachtree St,Murphy,Mr. ROBERT WARD,(828) 837-2621
Chowan,MSW,Trans,2101T-TRANSFER-2001,"Edenton, Town of Transfer Station",Active,118 W. Hicks St.,Edenton,Mr. Corey Gooden,(252) 482-4111
Chowan,Type II,Compost,2102-COMPOST-2015,Good Earth Horticulture,Active,2116 B Bio comp drive,"Edenton,",Mr. R V Knight,(252) 482-8528
