,County,Waste,Activity,Permit,Name,Status,Address,City,Contact,Phone,lat,lng
0,Alamance,Medical,Incin,0102-INCIN-M-,"Stericycle, Inc.",Active,1168 Porter Avenue,Haw River,Mr. Kirk Yarbourgh,(336) 380-7440,36.0658156,-79.34906389999999
1,Alamance,CD,LF,0104-CDLF-1993,Austin Quarter C&D Unit,Active,2701 Austin Quarter Road,Graham,Mr. Richard Hill,(336) 376-0411,35.9390401,-79.2934933
2,Alamance,MSW,LF,0104-MSWLF-1994,Austin Quarter SWM Facility,Active,2701 Austin Quarter Road,Graham,Mr. Richard Hill,(336) 376-0411,35.9390401,-79.2934933
3,Alamance,CD,LF,0105-CDLF-1998,Cobles C&D Landfill,Active,5833 Foster Store Road,Liberty,Mrs. Deanna Martin,(336) 264-4894,35.948101,-79.527377
4,Alamance,LCID,TP,0106-TP-2012,Carolina Resource Recovery LCID T&P Facility,Active,3285 Jones Drive,Mebane,Mr. Steven Scott,(336) 214-7229,36.015983,-79.27439199999999
5,Alamance,LCID,LF,0107-LCID-2014,Key Properties LCID Landfill,Active,2380 Sandy Cross Rd.,Burlington,"Mr. Clay Moody, Jr.",(336) 380-2458,36.1397196,-79.3576551
6,Alexander,CD,LF,0201-CDLF-1997,Alexander County CDLF,Active,2500 Paynes Dairy Road,Taylorsville,Mr. Josh Mitchell,(828) 632-1101,35.8386322,-81.1484436
7,Alexander,MSW,Trans,0202T-TRANSFER-1998,Alexander County Transfer Station,Active,2500 Paynes Dairy rd,Taylorsville,Mr. Josh Mitchell,(828) 632-1101,35.8386322,-81.1484436
8,Alleghany,MSW,Trans,0303T-TRANSFER-1994,Alleghany County Transfer Facility,Active,419 Osborne Road,Sparta,Ms. Drew Temple,(336) 372-4179,36.492372,-81.1485469
9,Anson,MSW,LF,0403-MSWLF-2010,Chambers Development MSWLF,Active,375 Dozer Dr,Polkton,Mr. J Tyler Fitzgerald,(704) 690-3240,34.9995594,-80.16895679999999
10,Anson,TypeIII,Compost,0405-COMPOST-2014,L & L Environmental Services LLC,Active,2323 DIGGS RD.,Wadesboro,Mr. Ronnie Oaks,(704) 294-0230,34.906488,-79.984595
11,Ashe,MSW,LF,0501-MSWLF-1993,Ashe County Landfill,Active,739 Fred Pugh Road,Cumpler,Mr. Scott Hurley,(336) 846-3721,36.518452,-81.368319
12,Ashe,HHW,Collection,0502TP-HHW-,Ashe County HHW Facility,Active,311 Dogget RD,West Jefferson,Mr. Brian Houck,(336) 846-3721,36.4125135,-81.4893946
